Entry,Protein,Gene,Urine,Plasma,Serum
A0A337S165,Lysosomal acid phosphatase (EC 3.1.3.2),ACP2,22.6,20.3,19.7
A0A337SAA6,Lysosomal acid phosphatase (EC 3.1.3.2),ACP2,19.6,17.3,18.1
A0A2I2UHD0,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.15) (EC 6.2.1.3) (Acyl-CoA synthetase) (Long-chain acyl-CoA synthetase),ACSL5,14.8,17.4,15.4
A0A5F5XWN0,"Actin alpha 1, skeletal muscle",ACTA1 CCSAP,22.6,18.5,18.4
A0A5F5XDM4,"Actin, cytoplasmic 1 (Beta-actin)",ACTB,26.5,23.6,23.6
M3W6I2,"Actin, cytoplasmic 2 (Gamma-actin)",ACTG1,22.5,19.9,19.9
A0A337SCW1,"Actin, gamma-enteric smooth muscle (Gamma-2-actin) (Smooth muscle gamma-actin)",ACTG2,26.3,23.2,23.2
A0A2I2U3E4,Alpha-actinin-4 (Non-muscle alpha-actinin 4),ACTN4,22.9,21.3,21.3
M3W8V8,Serine/threonine-protein kinase receptor (EC 2.7.11.30),ACVR1,19.8,14.8,14.3
A0A337RUC4,receptor protein serine/threonine kinase (EC 2.7.11.30),ACVR1B,24.6,17.8,17
M3VUE2,Serine/threonine-protein kinase receptor (EC 2.7.11.30),ACVRL1,20.6,17,18.4
A0A337RV46,N-acyl-aliphatic-L-amino acid amidohydrolase (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase),ACY1,23.7,21.8,21.9
A0A337SC15,N-acyl-aliphatic-L-amino acid amidohydrolase (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase),ACY1,21.5,18.3,18.6
A0A2I2UWI1,Disintegrin and metalloproteinase domain-containing protein 10 (EC 3.4.24.81) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease),ADAM10,21.8,20.5,20.5
A0A2I2V2H3,ADAM metallopeptidase domain 8,ADAM8,14.3,11.5,11
A0A337S9H1,ADAM metallopeptidase domain 9,ADAM9,18.6,14.2,13.9
M3X5J0,ADAM metallopeptidase with thrombospondin type 1 motif 13,ADAMTS13,18.6,19.1,18.1
A0A5F5XCM7,ADAM metallopeptidase with thrombospondin type 1 motif 2,ADAMTS2,22.2,13.8,14
M3WNU5,ADAMTS like 2,ADAMTSL2,19.8,17.7,17.7
M3VVC4,ADAMTS like 4,ADAMTSL4,21.3,20.5,20.1
A0A337SUP1,Adhesion G protein-coupled receptor E2,ADGRE2,23,12.1,12.3
A0A5F5XF14,Adhesion G protein-coupled receptor E5,ADGRE5,21.2,14.4,14
A0A2I2UTI9,Adhesion G protein-coupled receptor F5,ADGRF5,19.7,20,19.7
A0A2I2UM02,Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56),ADGRG1,23.8,19.8,19.9
A0A5F5XG72,Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56),ADGRG1,22.6,20.3,20.7
A0A2I2U088,Adhesion G protein-coupled receptor G6,ADGRG6,18.8,17.5,17.8
A0A2I2UB34,Adhesion G protein-coupled receptor L1,ADGRL1,25.1,19.7,19.8
A0A2I2U0D3,Adhesion G protein-coupled receptor L2,ADGRL2,21.7,20.4,20.7
A0A2I2U5R8,Adhesion G protein-coupled receptor L3,ADGRL3,22.9,16.7,16.5
A0A337SL34,Adhesion G protein-coupled receptor L4,ADGRL4,19.9,15.8,15.8
A0A3B0IPC1,Adiponectin A,ADIA,19.9,24.2,24.3
A0A3B0J2D0,Adiponectin D,ADID,20.6,24.3,24.3
A0A337SQU4,ADP dependent glucokinase,ADPGK,18.8,19.4,19.9
A0A2I2U1Z3,Afamin,AFM,26.2,28.8,28.7
M3XC81,Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF),AFMID,19.7,18.9,19.6
M3X557,Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin),AFP,20.2,21.6,21.7
A0A5F5XS55,Aspartylglucosaminidase,AGA,23.5,19.3,19
M3X0F1,Aspartylglucosaminidase,AGA,19.6,16,16.1
Q6KCA0,Alpha1-glycoprotein acid,agp,26.1,27.3,27
A0A5F5XI81,Agrin,AGRN,21.7,20,18.9
A0A2I2UUP6,Angiotensinogen (Serpin A8),AGT,31.8,28.1,28
A0A2I2U551,Adenosylhomocysteinase (S-adenosyl-L-homocysteine hydrolase),AHCY,19.7,17,17.7
A0A337SD37,Alpha-2-HS-glycoprotein (Fetuin-A),AHSG,28.3,30.8,30.8
A0A5F5XVZ8,Alpha-2-HS-glycoprotein (Fetuin-A),AHSG,20.5,16.4,15.2
A0A5F5XHI8,Aldo-keto reductase family 1 member A1 (EC 1.1.1.19) (EC 1.1.1.2) (EC 1.1.1.20) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (Glucuronolactone reductase),AKR1A1,23.1,20.8,20.2
A0A5F5XWS8,Aldo-keto reductase family 1 member B1 (EC 1.1.1.21) (EC 1.1.1.300) (Aldose reductase),AKR1B1,22.7,19.7,19.8
A0A5F5XQC7,NADP-dependent oxidoreductase domain-containing protein,AKR1C3,15.5,11.4,10.3
M3WA76,Aldo-keto reductase family 7 like (gene/pseudogene),AKR7L,21,19.5,20.1
P49064,Albumin (allergen Fel d 2),ALB,35.1,36.6,36.6
A0A2I2U7Y0,Albumin,ALB,29.8,31.5,31.4
A0A2I2UX74,CD166 antigen (Activated leukocyte cell adhesion molecule),ALCAM,24.1,22.7,21.7
M3WAV4,aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3),ALDH1A1,24.7,23.9,24.4
A0A337RUT4,10-formyltetrahydrofolate dehydrogenase (EC 1.5.1.6),ALDH1L1,20.2,11.3,12.9
A0A337STY8,"Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2)",ALDH2,18.1,14.9,14.1
A0A337RWN1,aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3),ALDH7A1,12.7,11.3,13
A0A337S2J9,Aldehyde dehydrogenase 8 family member A1,ALDH8A1,21.7,19.5,19.4
A0A337SF20,Aldehyde dehydrogenase 8 family member A1,ALDH8A1,17.3,19.7,17
M3W1Z4,4-trimethylaminobutyraldehyde dehydrogenase (EC 1.2.1.19) (EC 1.2.1.3) (EC 1.2.1.46) (EC 1.2.1.47) (Aldehyde dehydrogenase family 9 member A1) (Formaldehyde dehydrogenase) (Gamma-aminobutyraldehyde dehydrogenase),ALDH9A1,21.9,20.1,19.7
A0A337S416,Fructose-bisphosphate aldolase (EC 4.1.2.13),ALDOA,24.7,23.5,23.6
A0A5F5XME0,Fructose-bisphosphate aldolase (EC 4.1.2.13),ALDOB,24.8,22,21.1
A0A337SRA7,Alkaline phosphatase (EC 3.1.3.1),ALPI,20.3,15.3,15.2
Q29486,"Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme) (Phosphoamidase) (Phosphocreatine phosphatase) (EC 3.9.1.1)",ALPL,25.7,22,22
A0A337SNZ0,Protein amnionless,AMN,23.1,22.1,22
A0A337SBE3,Protein amnionless,AMN,24.6,22.6,22.4
A0A5F5Y013,Alpha-amylase (EC 3.2.1.1),AMY2B,26.3,25.6,25.6
M3X5H0,Alpha-amylase (EC 3.2.1.1),AMY2B,20.2,17.7,17.5
A0A337SEZ4,Angiopoietin-2,ANGPT2,23.5,22.3,22.2
M3X749,Angiopoietin 4,ANGPT4,23.6,19.6,19.7
A0A5F5XNX6,Angiopoietin like 1,ANGPTL1,22.8,21.1,21.5
M3WA23,Angiopoietin like 2,ANGPTL2,26.8,23.2,23.3
M3WET8,Angiopoietin like 3,ANGPTL3,27.1,20,20
A0A5F5Y1K1,Angiopoietin like 6,ANGPTL6,23.7,18,18.3
A0A337SS27,Aminopeptidase N (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (Microsomal aminopeptidase),ANPEP,21.1,18.4,17.9
P79171,Aminopeptidase N (AP-N) (fAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (CD antigen CD13),ANPEP APN,26.6,23.4,23.4
A0A337SIV7,ANTXR cell adhesion molecule 1,ANTXR1,25.4,20,20.2
A0A337SPR7,ANTXR cell adhesion molecule 2,ANTXR2,18,19,19
A0A5F5XLK1,Annexin,ANXA1,20.3,18.2,19.2
M3W3I3,Annexin A10,ANXA10,19.5,14.7,14.6
A0A5F5XPA1,Annexin,ANXA11,26,21.9,22
M3XFZ3,Annexin,ANXA11,20,11.6,11
A0A337SIG2,Annexin,ANXA13,22.6,20.5,20.6
A0A337SCD2,Annexin,ANXA2,24.5,20.8,21.1
A0A337S137,Annexin,ANXA4,24.9,22,22.3
A0A337S5C0,Annexin,ANXA5,22.9,21.5,21.4
A0A5F5Y7J8,Annexin,ANXA5,17.6,14.8,15.2
A0A337SBJ0,Annexin,ANXA5,21.4,18.4,17
A0A337SF88,Annexin,ANXA6,23.2,20.1,20.7
A0A5F5XRH7,Annexin,ANXA6,23.1,21.3,21.3
A0A2I2UN04,Annexin,ANXA7,23.2,22.1,22.2
A0A2I2U0U5,Amine oxidase (EC 1.4.3.-),AOC2,14.9,15.2,15.7
A0A337SWK3,Amine oxidase (EC 1.4.3.-),AOC3,23.6,22,21.9
A0A2I2U7C2,Adaptor related protein complex 1 subunit beta 1,AP1B1,18.7,15.3,12.7
A0A337SCH1,Amyloid beta protein binding family B member 1,APBB1 HPX,27.7,32.3,32.3
A0A5F5XCW1,Amyloid beta protein binding family B member 1,APBB1 HPX,26.5,31.1,31.1
M3W2J4,Amyloid beta protein binding family B member 1,APBB1 HPX,25.3,29.2,29
A0A5F5XQY3,Amyloid beta like protein 1,APLP1,21.8,18.4,18.9
A0A2I2UM58,Amyloid beta like protein 2,APLP2,24,21.5,21.8
A0A337S837,Apolipoprotein A-I (Apolipoprotein A1),APOA1,27.4,33.1,33.4
M3WPG6,Apolipoprotein A-I (Apolipoprotein A1),APOA1,23.7,30.1,30.4
M3W955,Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4),APOA4,25.1,28.7,29.1
A0A337SHX7,Apolipoprotein B,APOB,26.6,26.2,26.2
P0DM82,Apolipoprotein C-I (Apo-CI) (ApoC-I) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I],APOC1,21.8,24.7,24.8
M3WNX1,Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2),APOC2,21.7,26.5,26.4
M3WSC8,Apolipoprotein C-III (Apolipoprotein C3),APOC3,23.6,30,30
M3W2V3,Apolipoprotein C-IV (Apolipoprotein C4),APOC4,13.5,23.6,23.6
M3X8P7,Apolipoprotein D (Apo-D),APOD,23.8,27,27.2
A0A5F5XHD8,Beta-2-glycoprotein 1 (Apolipoprotein H) (Beta-2-glycoprotein I),APOH,27.2,30.5,30.5
A0A5F5XPI7,Beta-2-glycoprotein 1 (Apolipoprotein H) (Beta-2-glycoprotein I),APOH,27.3,26.5,26.7
A0A2I2U3L7,Apolipoprotein M,APOM,22.8,27,27.2
M3W828,Apolipoprotein M,APOM,20.1,24.5,24.8
A0A0A0MPX8,Amyloid-beta A4 protein,APP,24.8,20.5,21
A0A2I2UMH4,Adenine phosphoribosyltransferase (EC 2.4.2.7),APRT,19.8,20.5,20.4
A0A2I2UAM6,Aquaporin-1 (Aquaporin-CHIP) (Water channel protein for red blood cells and kidney proximal tubule),AQP1,22.8,18,17.7
A0A2I2U5A2,Aquaporin-2 (ADH water channel) (Aquaporin-CD) (Collecting duct water channel protein) (WCH-CD) (Water channel protein for renal collecting duct),AQP2,23.3,20.6,20.1
M3VUM2,Amphiregulin,AREG,20.7,16.9,17.9
A0A2I2U8Y1,ADP-ribosylation factor 3,ARF3,21.3,18.9,18.7
M3VXU3,Arginase (EC 3.5.3.1),ARG1,17.1,15.3,15.4
A0A2I2UBL3,Rho GDP-dissociation inhibitor 1 (Rho-GDI alpha),ARHGDIA,21.8,18.7,19.1
A0A2I2UL98,Rho GDP dissociation inhibitor beta,ARHGDIB,14,15,13.8
M3WSL5,Actin-related protein 2/3 complex subunit 4,ARPC4,18.6,16.7,17
M3WMY0,Actin-related protein 2/3 complex subunit 5,ARPC5,17.9,17.2,17
M3XEH2,Arrestin domain containing 1,ARRDC1,22.5,19.5,19.3
A0A5F5Y690,Arrestin domain containing 1,ARRDC1,20.9,19.3,18.9
M3WDK2,Arylsulfatase A,ARSA,23.8,19.7,19.9
A0A5F5XKR0,Arylsulfatase G,ARSG,19,20.2,18.5
M3XAU5,NAD(P)(+)--arginine ADP-ribosyltransferase (EC 2.4.2.31) (Mono(ADP-ribosyl)transferase),ART1,22.7,19.8,19.6
A0A2I2UC45,NAD(P)(+)--arginine ADP-ribosyltransferase (EC 2.4.2.31) (Mono(ADP-ribosyl)transferase),ART3,22.3,21.1,21.2
M3XDK8,NAD(P)(+)--arginine ADP-ribosyltransferase (EC 2.4.2.31) (Mono(ADP-ribosyl)transferase),ART4,24,19.7,19.4
A0A2I2V0N3,Acid ceramidase (EC 3.5.1.23),ASAH1,29,21,21.3
A0A5F5XFU3,Ankyrin repeat and SOCS box containing 1,ASB1,16.8,21.8,21.8
A0A337SSG0,Asialoglycoprotein receptor 1,ASGR1,19,16.3,16.2
A0A337SX21,Asialoglycoprotein receptor 1,ASGR1,19.9,12.2,13.1
A0A337SAN3,Asialoglycoprotein receptor 1,ASGR1,20,13.6,15
A0A2I2U788,Argininosuccinate lyase,ASL,20.6,21.6,21.9
M3WLS9,Aspartate dehydrogenase domain-containing protein,ASPDH,21.6,20.8,20.6
M3WWN6,Asporin,ASPN,20.6,17.6,17
M3W3H5,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase),ASS1,20.7,18.4,19.2
M3W551,Copper transport protein ATOX1 (Metal transport protein ATX1),ATOX1,27.1,19.9,20.2
A0A2I2UGY1,Sodium/potassium-transporting ATPase subunit alpha,ATP1A1,24.5,20.6,20.8
M3WB86,Sodium/potassium-transporting ATPase subunit beta,ATP1B1,24.3,25,24.7
M3WZB0,ATP synthase subunit alpha,ATP5F1A,19.4,20.3,19.5
M3WF16,ATPase H+ transporting accessory protein 1,ATP6AP1,22.1,14.8,13.5
A0A337SFQ2,Renin receptor (ATPase H(+)-transporting lysosomal accessory protein 2) (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin/prorenin receptor),ATP6AP2,23.2,23.1,22.8
A0A2I2UMK7,V-type proton ATPase subunit a,ATP6V0A1,18.5,16.7,17.7
A0A5F5XUE7,V-type proton ATPase proteolipid subunit,ATP6V0C,18,14.5,14.6
A0A337SG88,V-type proton ATPase subunit,ATP6V0D1,20,19.8,19.1
A0A2I2U1C8,H(+)-transporting two-sector ATPase (EC 7.1.2.2),ATP6V1A,23,21.4,21.4
A0A2I2V4V3,Vacuolar proton pump subunit B (V-ATPase subunit B) (Vacuolar proton pump subunit B),ATP6V1B2,23,21.7,22.1
A0A337SKQ1,V-type proton ATPase subunit C,ATP6V1C1,19.7,18.3,18.9
A0A337SK67,V-type proton ATPase subunit E 1 (V-type proton ATPase subunit e 1) (Vacuolar proton pump subunit E 1),ATP6V1E1,20.2,17.3,16.8
A0A2I2V0F1,V-type proton ATPase subunit G,ATP6V1G1,19.4,12.6,13.1
A0A337SHV5,V-type proton ATPase subunit H,ATP6V1H,17.5,15.9,17.5
A0A337SFT2,Attractin,ATRN,27.1,26.6,26.9
A0A2I2U5X4,Arginine vasopressin,AVP,19.6,13.1,13.2
A0A2I2UTQ4,receptor protein-tyrosine kinase (EC 2.7.10.1),AXL,25.9,20.9,20.5
Q5MGS7,Beta-2-microglobulin,B2M,26.3,21.5,21.5
M3WAQ7,Hexosyltransferase (EC 2.4.1.-),B3GNT2,24.5,22.4,22.6
A0A2I2UH51,"Beta-1,4-galactosyltransferase (Beta-1,4-GalTase) (EC 2.4.1.-)",B4GALT1,22.7,20.5,21
A0A5F5XM71,"Beta-1,4-galactosyltransferase (Beta-1,4-GalTase) (EC 2.4.1.-)",B4GALT5,21.3,18.2,18.3
M3WQ57,"Beta-1,4-glucuronyltransferase 1 (I-beta-1,3-N-acetylglucosaminyltransferase) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)",B4GAT1,25.7,23.8,24.3
A0A2I2V0L4,Brain-specific angiogenesis inhibitor 1-associated protein 2,BAIAP2,21,19.9,19.9
A0A5F5XSY0,BAR/IMD domain containing adaptor protein 2 like 1,BAIAP2L1,20.3,22.5,22.7
A0A337S942,BMP and activin membrane-bound inhibitor homolog,BAMBI,23.1,21.4,17.1
A0A337STZ5,Brain abundant membrane attached signal protein 1,BASP1,19.7,21,20.4
M3W2U8,Basal cell adhesion molecule (Lutheran blood group),BCAM,26.9,21.7,22
A0A2I2UQE2,Branched-chain-amino-acid aminotransferase (EC 2.6.1.42),BCAT1,17.3,18.9,19.2
A0A2I2U2A7,BCL6 corepressor like 1,BCORL1,12.1,14.7,14.8
A0A5F5XI01,Dehydrogenase/reductase SDR family member 6 (EC 1.1.1.104) (EC 1.1.1.30) ((R)-beta-hydroxybutyrate dehydrogenase) (3-hydroxybutyrate dehydrogenase type 2) (4-oxo-L-proline reductase) (Oxidoreductase UCPA) (Short chain dehydrogenase/reductase family 15C member 1),BDH2,20.8,19,19.6
A0A5F5XF81,Osteocalcin,BGLAP,19.1,13.9,14.6
A0A2I2UZ39,Bridging integrator 1,BIN1,20.3,18.2,18.1
A0A337SQ46,Biliverdin reductase B,BLVRB,24.1,20.5,22
M3VVW0,Biliverdin reductase B,BLVRB,20.1,20,21.2
M3XCQ9,receptor protein serine/threonine kinase (EC 2.7.11.30),BMPR1A,16.3,13.9,16.1
A0A2I2U0V3,receptor protein serine/threonine kinase (EC 2.7.11.30),BMPR2,21.5,18.1,18.1
M3VUA4,"BOC cell adhesion associated, onco regulated",BOC,16,20.6,21.3
M3WM50,BPI fold-containing family A member 1 (Palate lung and nasal epithelium clone protein),BPIFA1,21.7,22.6,21
A0A2I2UYJ3,Bactericidal permeability-increasing protein (BPI),BPIFC,14.9,16.1,15.6
A0A5F5XJH2,BRO1 domain-containing protein BROX (BRO1 domain- and CAAX motif-containing protein),BROX,22.1,21.3,20.3
A0A5F5XRG8,BRO1 domain-containing protein BROX (BRO1 domain- and CAAX motif-containing protein),BROX,21.8,18.4,18.6
A0A337S935,Bromodomain and WD repeat domain containing 1,BRWD1,14.1,18.9,17.3
A0A5F5XCB9,Basigin,BSG,24.8,20.6,20.8
A0A2I2UA49,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6),BST1,24.1,20.1,20.1
A0A2I2U769,Bone marrow stromal cell antigen 2,BST2,20.7,21.9,22.3
A0A2I2U4L9,Biotinidase (EC 3.5.1.12),BTD,24.8,24.4,24.3
A0A337SAQ9,B and T lymphocyte associated,BTLA,20.7,18.2,18.3
A0A2I2V139,Chromosome 19 open reading frame 33,C19orf33,17.5,20.1,18.1
M3WS63,Complement C1q subcomponent subunit A,C1QA,23.7,23.9,23.9
A0A337SJG7,Complement C1q C chain,C1QC,18.9,24.3,24.4
A0A5F5XD66,C1q and TNF related 5,C1QTNF5,18.5,12.8,13.7
A0A337SDE6,complement subcomponent C1r (EC 3.4.21.41),C1R,24.1,24.5,25.5
A0A337S217,CUB domain-containing protein,C1R,19.2,24.1,25.1
A0A5F5XHF5,Complement C1s,C1S,22.2,25.8,26.4
A0A2I2V4P2,Complement C2 (EC 3.4.21.43) (C3/C5 convertase),C2,25.6,25.4,25.5
A0A5F5Y0X6,Complement component 4 binding protein alpha,C4BPA,23.9,25.4,25.4
A0A5F5Y5F1,Complement component 4 binding protein alpha,C4BPA,19.6,21.5,20.3
M3WJK3,Complement component 4 binding protein alpha,C4BPA,21.8,24,23.8
A0A5F5Y442,Complement component 4 binding protein alpha,C4BPA,23.1,25.5,25.4
M3WJK2,Complement component 4 binding protein beta,C4BPB,20.6,21,20.9
M3VV58,Complement C5,C5,24.3,26.2,26.2
M3WLH3,Complement component C6,C6,23,23.2,23.2
A0A5F5XTG9,Complement C7,C7,26.4,27,27.5
A0A5F5XPJ5,Complement C8 alpha chain,C8A,24.5,25,25.4
M3W158,Complement C8 alpha chain,C8A,15.8,16.7,17.5
A0A2I2U5W5,Complement component C8 beta chain (Complement component 8 subunit beta),C8B,22.9,25.9,26.2
M3VUN7,Complement C8 gamma chain,C8G,21.8,24.7,25.2
M3WI95,Complement component C9,C9,24.1,27.2,27.4
A0A2I2U5V0,Carbonic anhydrase (EC 4.2.1.1),CA12,23.9,20.7,21
A0A5F5XSK3,Carbonic anhydrase 14,CA14,21.2,26.2,26.4
A0A5F5Y3X9,carbonic anhydrase (EC 4.2.1.1),CA15,21.4,20.3,20.1
M3WTZ2,Chromosome A1 C5orf15 homolog,CA1H5orf15,21.4,20.8,21.8
A0A5F5XMJ0,Carbonic anhydrase (EC 4.2.1.1),CA2,25.8,24.3,25.3
M3WS40,Carbonic anhydrase (EC 4.2.1.1),CA3,25,20,20.3
M3WAR8,Carbonic anhydrase (EC 4.2.1.1),CA4,24.4,19.5,19.4
A0A2I2U448,Calcium binding protein 39,CAB39,20.3,18.4,18.7
M3WKE5,Calcium binding protein 39 like,CAB39L,19.3,16.2,16.7
A0A2I2U2E0,Calcium voltage-gated channel auxiliary subunit alpha2delta 1,CACNA2D1,24.8,27.2,26.2
A0A2I2UR43,Cell adhesion molecule 1,CADM1,23.6,18.3,18.2
A0A2I2UUH5,Cell adhesion molecule 2,CADM2,20.9,22.5,22.2
M3WMA2,Cell adhesion molecule 3,CADM3,24.2,20.1,20.6
A0A2I2ULF8,Cell adhesion molecule 4,CADM4,26.8,19.1,19.4
A0A337RZZ8,Calbindin,CALB1,19.4,18,18.2
A0A337SVD2,EF-hand domain-containing protein,CALM1,21.6,19.2,19.8
A0A337SJA7,Calmodulin 2 (Calmodulin 3),CALM3 CALM2,20,17.8,17.9
M3VUU7,Calreticulin,CALR,23.8,24.6,24
A0A2I2U8F6,Calreticulin,CALR3,22.8,22.3,23.1
A0A2I2U457,Calumenin,CALU,21.3,18.8,19.7
A0A2I2UC97,Calumenin,CALU,19.1,19.3,19
F1C962,Cathelicidin,CAMP,30.1,25.6,25.7
A0A2I2U679,Galectin-3-binding protein (Lectin galactoside-binding soluble 3-binding protein),CANT1,28.8,21.5,21.7
A0A2I2U787,Adenylyl cyclase-associated protein,CAP2,19.5,12.9,11.6
M3XEV5,Calpain 7,CAPN7,23.1,23.8,22.1
M3WK60,Calpain small subunit 1,CAPNS1,15.5,18.6,17
A0M8S9,F-actin-capping protein subunit alpha-2 (CapZ alpha-2),CAPZA2,19.7,11.7,12.2
A0A337S7D7,F-actin-capping protein subunit beta,CAPZB,19.3,16.1,16.6
A0A5F5XBX1,CASK interacting protein 1,CASKIN1,10.9,20,19.9
M3X6G1,Caveolae associated protein 1,CAVIN1,19.7,15.5,15.6
A0A337S4Q8,Chromosome B4 C12orf56 homolog,CB4H12orf56,22.6,16.6,16.9
M3W7W5,Cobalamin binding intrinsic factor,CBLIF,20.2,20.3,19.8
A0A337S4U7,Cerebellin 2,CBLN2,18.4,15.5,16.6
A0A337SFW3,Coiled-coil domain containing 126,CCDC126,18.2,17.4,17.5
A0A2I2U794,Coiled-coil domain containing 150,CCDC150,17,14.4,14.6
A0A2I2U1I0,Coiled-coil domain containing 154,CCDC154,20.3,20.6,20.5
M3WGB1,Coiled-coil domain containing 68,CCDC68,16.3,16.6,17.8
M3WCI9,C-C motif chemokine,CCL16,19.7,22.6,22.1
M3WX79,CCN family member 1 (Cellular communication network factor 1) (Protein CYR61),CCN1,21.4,19,19.2
A0A337S566,CCN family member 2 (Cellular communication network factor 2) (Connective tissue growth factor),CCN2,24.7,19.9,20.8
A0A2I2UV24,CCN family member 3 (Cellular communication network factor 3),CCN3,27.5,18.5,19.2
A0A337SGQ6,Cellular communication network factor 4,CCN4,22.1,17.7,17.2
A0A337S736,T-complex protein 1 subunit delta,CCT4,15.1,13.8,13.4
A0A337SB54,CD109 molecule,CD109,26.9,17.9,18.6
M3VWC6,Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein),CD14,24,24.3,24.2
M3VZG5,CD163 molecule,CD163,22.2,22.6,22.8
A0A2I2UYP6,CD177 molecule,CD177,20.9,18.6,19.5
A0A337SMM1,Prostate androgen-regulated mucin-like protein 1,CD1H11orf24,18.2,16.3,16.2
A0A2I2U7D8,Chromosome D1 C11orf54 homolog,CD1H11orf54,23.4,21.9,22
M3W8D8,CD200 molecule,CD200,21.3,16.5,16.1
A0A5F5XNG4,CD248 molecule,CD248,27.1,20.2,20.6
