"","From","Entry","Gene.Names","Protein.names","Protein.existence","Annotation","Gene.Ontology..GO.","Gene.Ontology.IDs","Gene.encoded.by"
"30","A0A337SCW1","A0A337SCW1","ACTG2","Actin, gamma-enteric smooth muscle (Gamma-2-actin) (Smooth muscle gamma-actin)","Inferred from homology","2","cytoskeleton [GO:0005856]","GO:0005856",NA
"31","A0A2I2U3E4","A0A2I2U3E4","ACTN4","Alpha-actinin-4 (Non-muscle alpha-actinin 4)","Inferred from homology","4","anchoring junction [GO:0070161]; cell junction [GO:0030054]; cell projection [GO:0042995]; cortical actin cytoskeleton [GO:0030864]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ribonucleoprotein complex [GO:1990904]; stress fiber [GO:0001725]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; chromatin DNA binding [GO:0031490]; nuclear receptor coactivator activity [GO:0030374]; nuclear retinoic acid receptor binding [GO:0042974]; nucleoside binding [GO:0001882]; protein homodimerization activity [GO:0042803]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; transmembrane transporter binding [GO:0044325]; actin cytoskeleton organization [GO:0030036]; muscle cell development [GO:0055001]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; peroxisome proliferator activated receptor signaling pathway [GO:0035357]; positive regulation of cell migration [GO:0030335]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of transcription by RNA polymerase II [GO:0045944]; retinoic acid receptor signaling pathway [GO:0048384]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; vesicle transport along actin filament [GO:0030050]","GO:0000977; GO:0001725; GO:0001882; GO:0005509; GO:0005634; GO:0005886; GO:0030018; GO:0030036; GO:0030050; GO:0030054; GO:0030335; GO:0030374; GO:0030864; GO:0031490; GO:0033209; GO:0035357; GO:0042803; GO:0042974; GO:0042995; GO:0044325; GO:0045944; GO:0048384; GO:0048471; GO:0051015; GO:0055001; GO:0070161; GO:1900025; GO:1901224; GO:1990904",NA
"32","M3W8V8","M3W8V8","ACVR1","Serine/threonine-protein kinase receptor (EC 2.7.11.30)","Inferred from homology","5","activin receptor complex [GO:0048179]; apical part of cell [GO:0045177]; BMP receptor complex [GO:0070724]; plasma membrane [GO:0005886]; activin binding [GO:0048185]; activin receptor activity, type I [GO:0016361]; ATP binding [GO:0005524]; BMP receptor activity [GO:0098821]; cadherin binding [GO:0045296]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; protein tyrosine kinase binding [GO:1990782]; SMAD binding [GO:0046332]; transforming growth factor beta binding [GO:0050431]; transforming growth factor beta receptor activity, type I [GO:0005025]; acute inflammatory response [GO:0002526]; atrial septum primum morphogenesis [GO:0003289]; BMP signaling pathway [GO:0030509]; branching involved in blood vessel morphogenesis [GO:0001569]; cardiac muscle cell fate commitment [GO:0060923]; cellular response to growth factor stimulus [GO:0071363]; determination of left/right symmetry [GO:0007368]; dorsal/ventral pattern formation [GO:0009953]; embryonic heart tube morphogenesis [GO:0003143]; endocardial cushion cell fate commitment [GO:0061445]; endocardial cushion formation [GO:0003272]; endocardial cushion fusion [GO:0003274]; gastrulation with mouth forming second [GO:0001702]; germ cell development [GO:0007281]; heart development [GO:0007507]; in utero embryonic development [GO:0001701]; mesoderm formation [GO:0001707]; mitral valve morphogenesis [GO:0003183]; negative regulation of activin receptor signaling pathway [GO:0032926]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; neural crest cell migration [GO:0001755]; pharyngeal system development [GO:0060037]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cardiac epithelial to mesenchymal transition [GO:0062043]; positive regulation of cell migration [GO:0030335]; positive regulation of determination of dorsal identity [GO:2000017]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of SMAD protein signal transduction [GO:0060391]; positive regulation of transcription by RNA polymerase II [GO:0045944]; smooth muscle cell differentiation [GO:0051145]; transforming growth factor beta receptor signaling pathway [GO:0007179]; ventricular septum morphogenesis [GO:0060412]","GO:0001569; GO:0001701; GO:0001702; GO:0001707; GO:0001755; GO:0002526; GO:0003143; GO:0003183; GO:0003272; GO:0003274; GO:0003289; GO:0005025; GO:0005524; GO:0005886; GO:0007179; GO:0007281; GO:0007368; GO:0007507; GO:0009953; GO:0016361; GO:0030335; GO:0030501; GO:0030509; GO:0032926; GO:0042803; GO:0045177; GO:0045296; GO:0045669; GO:0045944; GO:0046332; GO:0046872; GO:0048179; GO:0048185; GO:0050431; GO:0050731; GO:0051145; GO:0060037; GO:0060391; GO:0060412; GO:0060923; GO:0061445; GO:0062043; GO:0070724; GO:0071363; GO:0098821; GO:1990782; GO:2000017; GO:2000134; GO:2001237",NA
"33","A0A337RUC4","A0A337RUC4","ACVR1B","receptor protein serine/threonine kinase (EC 2.7.11.30)","Inferred from homology","2","membrane [GO:0016020]; ATP binding [GO:0005524]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]","GO:0004675; GO:0005524; GO:0016020",NA
"34","M3VUE2","M3VUE2","ACVRL1","Serine/threonine-protein kinase receptor (EC 2.7.11.30)","Inferred from homology","5","BMP receptor complex [GO:0070724]; cell surface [GO:0009986]; plasma membrane [GO:0005886]; activin binding [GO:0048185]; activin receptor activity, type I [GO:0016361]; ATP binding [GO:0005524]; BMP receptor activity [GO:0098821]; metal ion binding [GO:0046872]; protein kinase binding [GO:0019901]; SMAD binding [GO:0046332]; transforming growth factor beta binding [GO:0050431]; transforming growth factor beta receptor activity, type I [GO:0005025]; angiogenesis [GO:0001525]; blood vessel remodeling [GO:0001974]; BMP signaling pathway [GO:0030509]; cellular response to growth factor stimulus [GO:0071363]; dorsal aorta morphogenesis [GO:0035912]; dorsal/ventral pattern formation [GO:0009953]; endocardial cushion morphogenesis [GO:0003203]; endothelial tube morphogenesis [GO:0061154]; heart development [GO:0007507]; in utero embryonic development [GO:0001701]; lymphangiogenesis [GO:0001946]; lymphatic endothelial cell differentiation [GO:0060836]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of cell growth [GO:0030308]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of gene expression [GO:0010629]; positive regulation of angiogenesis [GO:0045766]; positive regulation of bicellular tight junction assembly [GO:1903348]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of endothelial cell differentiation [GO:0045603]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of SMAD protein signal transduction [GO:0060391]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of blood pressure [GO:0008217]; retina vasculature development in camera-type eye [GO:0061298]; transforming growth factor beta receptor signaling pathway [GO:0007179]; venous blood vessel development [GO:0060841]; wound healing, spreading of epidermal cells [GO:0035313]","GO:0001525; GO:0001701; GO:0001937; GO:0001938; GO:0001946; GO:0001974; GO:0003203; GO:0005025; GO:0005524; GO:0005886; GO:0007179; GO:0007507; GO:0008217; GO:0009953; GO:0009986; GO:0010629; GO:0016361; GO:0019901; GO:0030308; GO:0030509; GO:0030513; GO:0035313; GO:0035912; GO:0043537; GO:0045602; GO:0045603; GO:0045747; GO:0045766; GO:0045944; GO:0046332; GO:0046872; GO:0048185; GO:0050431; GO:0051895; GO:0060391; GO:0060836; GO:0060841; GO:0061154; GO:0061298; GO:0070724; GO:0071363; GO:0098821; GO:1903348",NA
"35","A0A337RV46","A0A337RV46","ACY1","N-acyl-aliphatic-L-amino acid amidohydrolase (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase)","Inferred from homology","2","cytoplasm [GO:0005737]; aminoacylase activity [GO:0004046]; metal ion binding [GO:0046872]; amino acid metabolic process [GO:0006520]","GO:0004046; GO:0005737; GO:0006520; GO:0046872",NA
"36","A0A337SC15","A0A337SC15","ACY1","N-acyl-aliphatic-L-amino acid amidohydrolase (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase)","Inferred from homology","2","cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; aminoacylase activity [GO:0004046]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; amino acid metabolic process [GO:0006520]","GO:0004046; GO:0005737; GO:0006520; GO:0042802; GO:0046872; GO:0070062",NA
"37","A0A2I2UWI1","A0A2I2UWI1","ADAM10","Disintegrin and metalloproteinase domain-containing protein 10 (EC 3.4.24.81) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease)","Predicted","3","adherens junction [GO:0005912]; clathrin-coated vesicle [GO:0030136]; Golgi membrane [GO:0000139]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; SH3 domain binding [GO:0017124]; proteolysis [GO:0006508]","GO:0000139; GO:0004222; GO:0005912; GO:0006508; GO:0017124; GO:0030136; GO:0046872",NA
"38","A0A2I2V2H3","A0A2I2V2H3","ADAM8","ADAM metallopeptidase domain 8","Predicted","5","alpha9-beta1 integrin-ADAM8 complex [GO:0071133]; cell surface [GO:0009986]; dense core granule membrane [GO:0032127]; phagolysosome [GO:0032010]; podosome [GO:0002102]; specific granule [GO:0042581]; tertiary granule [GO:0070820]; calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; angiogenesis [GO:0001525]; canonical NF-kappaB signal transduction [GO:0007249]; cell morphogenesis [GO:0000902]; cell-cell adhesion [GO:0098609]; cellular response to hypoxia [GO:0071456]; inflammatory response [GO:0006954]; leukocyte migration involved in inflammatory response [GO:0002523]; lymphocyte chemotaxis [GO:0048247]; negative regulation of neuron apoptotic process [GO:0043524]; positive regulation of acute inflammatory response [GO:0002675]; positive regulation of bone resorption [GO:0045780]; positive regulation of cellular extravasation [GO:0002693]; positive regulation of eosinophil migration [GO:2000418]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of fibronectin-dependent thymocyte migration [GO:2000415]; positive regulation of innate immune response [GO:0045089]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of neutrophil extravasation [GO:2000391]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of T cell differentiation in thymus [GO:0033089]; positive regulation of thymocyte apoptotic process [GO:0070245]; positive regulation of tumor necrosis factor (ligand) superfamily member 11 production [GO:2000309]; proteolysis [GO:0006508]; regulation of cell-cell adhesion [GO:0022407]","GO:0000902; GO:0001525; GO:0002102; GO:0002523; GO:0002675; GO:0002693; GO:0004222; GO:0005509; GO:0006508; GO:0006954; GO:0007249; GO:0008270; GO:0009986; GO:0010718; GO:0022407; GO:0032010; GO:0032127; GO:0033089; GO:0042581; GO:0043410; GO:0043524; GO:0045089; GO:0045780; GO:0048247; GO:0050839; GO:0051044; GO:0051897; GO:0070245; GO:0070820; GO:0071133; GO:0071456; GO:0098609; GO:2000309; GO:2000391; GO:2000415; GO:2000418",NA
"39","A0A337S9H1","A0A337S9H1","ADAM9","ADAM metallopeptidase domain 9","Predicted","1",NA,NA,NA
"40","M3X5J0","M3X5J0","ADAMTS13","ADAM metallopeptidase with thrombospondin type 1 motif 13","Predicted","2","extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; extracellular matrix organization [GO:0030198]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]","GO:0004222; GO:0005576; GO:0006508; GO:0030198; GO:0031012; GO:0043171; GO:0046872",NA
"41","A0A5F5XCM7","A0A5F5XCM7","ADAMTS2","ADAM metallopeptidase with thrombospondin type 1 motif 2","Predicted","2","collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; extracellular matrix organization [GO:0030198]; proteolysis [GO:0006508]","GO:0004222; GO:0005576; GO:0006508; GO:0008270; GO:0030198; GO:0062023",NA
"42","M3WNU5","M3WNU5","ADAMTSL2","ADAMTS like 2","Predicted","2","extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; microfibril binding [GO:0050436]; extracellular matrix organization [GO:0030198]; lobar bronchus epithelium development [GO:0060481]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]","GO:0005576; GO:0030198; GO:0030512; GO:0031012; GO:0050436; GO:0060481",NA
